ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2020),Inequality in income (2021),,,,,,,,,
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118,13.83059,13.83059,,,,,,,,,
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146,14.34211,14.34211,,,,,,,,,
LAO,Lao,Asia,Northern Hemisphere,Medium,EAP,140,20.58334,20.58334,,,,,,,,,
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178,19.74577,19.74577,,,,,,,,,
LSO,Lesotho,Africa,Southern Hemisphere,Low,SSA,168,29.57664,29.57664,,,,,,,,,
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80,10.43722208,10.43722208,,,,,,,,,
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173,27.557,27.557,,,,,,,,,
MDV,Maldives,Asia,Northern Hemisphere,High,SA,90,25.8459,25.8459,,,,,,,,,
MEX,Mexico,America,Northern Hemisphere,High,LAC,86,29.798888,29.798888,,,,,,,,,
MOZ,Mozambique,Africa,Southern Hemisphere,Low,SSA,185,28.39454,28.39454,,,,,,,,,
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169,31.27695,31.27695,,,,,,,,,
NAM,Namibia,Africa,Southern Hemisphere,Medium,SSA,139,53.58558,53.58558,,,,,,,,,
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189,16.43389921,16.43389921,,,,,,,,,
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163,28.05169,28.05169,,,,,,,,,
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126,30.693801,30.693801,,,,,,,,,
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161,17.23416,17.23416,,,,,,,,,
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61,36.569706,36.569706,,,,,,,,,
PER,Peru,America,Southern Hemisphere,High,LAC,84,26.300654,26.300654,,,,,,,,,
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116,28.09546,28.09546,,,,,,,,,
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105,30.441064,30.441064,,,,,,,,,
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,165,27.19248,27.19248,,,,,,,,,
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,172,33,33,,,,,,,,,
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170,23.384,23.384,,,,,,,,,
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12,24.96040064,24.96040064,,,,,,,,,
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181,19.85569,19.85569,,,,,,,,,
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125,22.481244,22.481244,,,,,,,,,
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191,32.25296,32.25296,,,,,,,,,
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144,37.9,37.9,,,,,,,,,
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190,26.50219,26.50219,,,,,,,,,
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162,26.85326,26.85326,,,,,,,,,
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140,13.58745,13.58745,,,,,,,,,
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,23.07928288,23.07928288,,,,,,,,,
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,22.4,22.4,,,,,,,,,
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,8.524722702,8.524722702,,,,,,,,,
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,23.543408,23.543408,,,,,,,,,
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120,21,21,,,,,,,,,
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,115,14.60094,14.60094,,,,,,,,,
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,EAP,140,19.68256999,19.68256999,,,,,,,,,
YEM,Yemen,Asia,Northern Hemisphere,Low,AS,183,21.80323,21.80323,,,,,,,,,
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109,56.996,56.996,,,,,,,,,
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154,44.84022,44.84022,,,,,,,,,
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146,28.76901,28.76901,,,,,,,,,
